prompt,expected_type,next_token,probability,full_text,label
The authentication is done using,code,the,0.2354736328125,The authentication is done usingthe,language
The authentication is done using,code,a,0.1580810546875,The authentication is done usinga,language
The authentication is done using,code,O,0.052947998046875,The authentication is done usingO,code
The authentication is done using,code,an,0.0460205078125,The authentication is done usingan,language
The authentication is done using,code,[,0.0396728515625,The authentication is done using[,code
The authentication is done using,code,`,0.0285797119140625,The authentication is done using`,code
The authentication is done using,code,J,0.0248260498046875,The authentication is done usingJ,code
The authentication is done using,code,Open,0.01470184326171875,The authentication is done usingOpen,code
The authentication is done using,code,HTTP,0.0140380859375,The authentication is done usingHTTP,code
The authentication is done using,code,Spring,0.00864410400390625,The authentication is done usingSpring,code
The authentication is done using,code,JSON,0.00864410400390625,The authentication is done usingJSON,code
The authentication is done using,code,cookies,0.0083770751953125,The authentication is done usingcookies,code
The authentication is done using,code,Azure,0.00824737548828125,The authentication is done usingAzure,code
The authentication is done using,code,Google,0.00787353515625,The authentication is done usingGoogle,code
The authentication is done using,code,AWS,0.007511138916015625,The authentication is done usingAWS,code
The authentication is done using,code,L,0.007396697998046875,The authentication is done usingL,code
The authentication is done using,code,o,0.006732940673828125,The authentication is done usingo,language
The authentication is done using,code,username,0.005672454833984375,The authentication is done usingusername,code
The authentication is done using,code,basic,0.005580902099609375,The authentication is done usingbasic,code
The authentication is done using,code,Ker,0.005451202392578125,The authentication is done usingKer,code
Password hashing uses,code,a,0.256103515625,Password hashing usesa,language
Password hashing uses,code,the,0.1693115234375,Password hashing usesthe,language
Password hashing uses,code,an,0.03228759765625,Password hashing usesan,language
Password hashing uses,code,.,0.03204345703125,Password hashing uses.,language
Password hashing uses,code,,0.02069091796875,Password hashing uses,language
Password hashing uses,code,S,0.0189971923828125,Password hashing usesS,code
Password hashing uses,code,to,0.015625,Password hashing usesto,language
Password hashing uses,code,",",0.0129547119140625,"Password hashing uses,",language
Password hashing uses,code,different,0.01009368896484375,Password hashing usesdifferent,language
Password hashing uses,code,"
",0.00911712646484375,"Password hashing uses
",language
Password hashing uses,code,only,0.00897216796875,Password hashing usesonly,language
Password hashing uses,code,two,0.0088348388671875,Password hashing usestwo,language
Password hashing uses,code,multiple,0.0080413818359375,Password hashing usesmultiple,language
Password hashing uses,code,this,0.0076141357421875,Password hashing usesthis,language
Password hashing uses,code,for,0.00732421875,Password hashing usesfor,language
Password hashing uses,code,one,0.00720977783203125,Password hashing usesone,language
Password hashing uses,code,`,0.0063629150390625,Password hashing uses`,code
Password hashing uses,code,more,0.005840301513671875,Password hashing usesmore,language
Password hashing uses,code,in,0.005767822265625,Password hashing usesin,language
Password hashing uses,code,of,0.005615234375,Password hashing usesof,language
Tokens are generated with,code,the,0.21240234375,Tokens are generated withthe,language
Tokens are generated with,code,a,0.1761474609375,Tokens are generated witha,language
Tokens are generated with,code,`,0.025970458984375,Tokens are generated with`,code
Tokens are generated with,code,an,0.0240325927734375,Tokens are generated withan,language
Tokens are generated with,code,,0.0240325927734375,Tokens are generated with,language
Tokens are generated with,code,random,0.0225677490234375,Tokens are generated withrandom,language
Tokens are generated with,code,[,0.019012451171875,Tokens are generated with[,code
Tokens are generated with,code,this,0.016265869140625,Tokens are generated withthis,language
Tokens are generated with,code,each,0.01171112060546875,Tokens are generated witheach,language
Tokens are generated with,code,"
",0.008636474609375,"Tokens are generated with
",language
Tokens are generated with,code,two,0.007350921630859375,Tokens are generated withtwo,language
Tokens are generated with,code,:,0.0071563720703125,Tokens are generated with:,language
Tokens are generated with,code,their,0.006885528564453125,Tokens are generated withtheir,language
Tokens are generated with,code,different,0.00572967529296875,Tokens are generated withdifferent,language
Tokens are generated with,code,no,0.005321502685546875,Tokens are generated withno,language
Tokens are generated with,code,one,0.004974365234375,Tokens are generated withone,language
Tokens are generated with,code,some,0.004222869873046875,Tokens are generated withsome,language
Tokens are generated with,code,respect,0.004207611083984375,Tokens are generated withrespect,language
Tokens are generated with,code,probability,0.0040283203125,Tokens are generated withprobability,language
Tokens are generated with,code,every,0.0036106109619140625,Tokens are generated withevery,language
The database is,code,a,0.10430908203125,The database isa,language
The database is,code,the,0.042816162109375,The database isthe,language
The database is,code,stored,0.03466796875,The database isstored,language
The database is,code,used,0.0330810546875,The database isused,language
The database is,code,not,0.028289794921875,The database isnot,language
The database is,code,lic,0.0249786376953125,The database islic,code
The database is,code,an,0.0234527587890625,The database isan,language
The database is,code,designed,0.0220489501953125,The database isdesigned,language
The database is,code,available,0.0188446044921875,The database isavailable,language
The database is,code,built,0.018707275390625,The database isbuilt,language
The database is,code,currently,0.0177154541015625,The database iscurrently,language
The database is,code,hosted,0.0163726806640625,The database ishosted,language
The database is,code,updated,0.015380859375,The database isupdated,language
The database is,code,in,0.01514434814453125,The database isin,language
The database is,code,based,0.0150299072265625,The database isbased,language
The database is,code,created,0.01389312744140625,The database iscreated,language
The database is,code,organized,0.01143646240234375,The database isorganized,language
The database is,code,located,0.01099395751953125,The database islocated,language
The database is,code,being,0.01049041748046875,The database isbeing,language
The database is,code,open,0.01009368896484375,The database isopen,language
The frontend uses,code,the,0.1744384765625,The frontend usesthe,language
The frontend uses,code,[,0.131591796875,The frontend uses[,code
The frontend uses,code,a,0.10577392578125,The frontend usesa,language
The frontend uses,code,React,0.10498046875,The frontend usesReact,code
The frontend uses,code,Vue,0.036834716796875,The frontend usesVue,code
The frontend uses,code,Angular,0.0310211181640625,The frontend usesAngular,code
The frontend uses,code,`,0.01409149169921875,The frontend uses`,code
The frontend uses,code,react,0.0136566162109375,The frontend usesreact,code
The frontend uses,code,an,0.01323699951171875,The frontend usesan,language
The frontend uses,code,Type,0.0106353759765625,The frontend usesType,code
The frontend uses,code,:,0.0091705322265625,The frontend uses:,language
The frontend uses,code,Bootstrap,0.007781982421875,The frontend usesBootstrap,code
The frontend uses,code,HTML,0.0073699951171875,The frontend usesHTML,code
The frontend uses,code,Web,0.00725555419921875,The frontend usesWeb,code
The frontend uses,code,jQuery,0.006816864013671875,The frontend usesjQuery,code
The frontend uses,code,this,0.005519866943359375,The frontend usesthis,language
The frontend uses,code,Types,0.0054779052734375,The frontend usesTypes,code
The frontend uses,code,some,0.004611968994140625,The frontend usessome,language
The frontend uses,code,Material,0.004611968994140625,The frontend usesMaterial,code
The frontend uses,code,Next,0.004573822021484375,The frontend usesNext,code
State management is,code,to,0.1590576171875,State management isto,language
State management is,code,a,0.06378173828125,State management isa,language
State management is,code,the,0.04852294921875,State management isthe,language
State management is,code,not,0.046661376953125,State management isnot,language
State management is,code,that,0.022216796875,State management isthat,language
State management is,code,an,0.01551055908203125,State management isan,language
State management is,code,,0.0150299072265625,State management is,language
State management is,code,in,0.009857177734375,State management isin,language
State management is,code,very,0.008697509765625,State management isvery,language
State management is,code,also,0.0065155029296875,State management isalso,language
State management is,code,set,0.006267547607421875,State management isset,language
State management is,code,based,0.00572967529296875,State management isbased,language
State management is,code,more,0.005504608154296875,State management ismore,language
State management is,code,$,0.00548553466796875,State management is$,language
State management is,code,:,0.00537872314453125,State management is:,language
State management is,code,for,0.005279541015625,State management isfor,language
State management is,code,still,0.005016326904296875,State management isstill,language
State management is,code,one,0.005016326904296875,State management isone,language
State management is,code,",",0.00484466552734375,"State management is,",language
State management is,code,now,0.004730224609375,State management isnow,language
We import,code,the,0.148193359375,We importthe,language
